median_square_feet,average_listing_price,indicator
1716,275876,Good deal
2431,361249,No deal
2243,795000,Good deal
1688,130000,Good deal
1747,333268,No deal
2589,218725,Good deal
1118,138000,Good deal
1348,193817,Good deal
4940,499900,No deal
2182,195000,Good deal
2388,264204,Good deal
1904,240000,Good deal
1152,515769,No deal
1507,336336,No deal
1345,246600,Good deal
1200,65292,Good deal
1404,100000,Good deal
3718,629500,No deal
2764,259900,Good deal
2026,817479,Good deal
2160,700750,Good deal
1529,83177,Good deal
1834,316189,No deal
1563,326868,No deal
947,644970,No deal
3254,424326,No deal
1422,128869,Good deal
1504,209219,Good deal
1535,926411,No deal
1056,140000,Good deal
2004,139211,Good deal
1023,120270,Good deal
1216,249000,Good deal
2050,2185965,Good deal
1682,387979,No deal
3403,1530000,No deal
1682,871428,No deal
1554,82551,Good deal
10291,1699725,No deal
2298,484234,Good deal
1509,227519,Good deal
2072,238281,Good deal
1980,490050,Good deal
1932,379100,Good deal
2066,1575148,Good deal
1862,357551,No deal
1880,52500,Good deal
1220,95500,Good deal
2334,581983,Good deal
1028,56125,Good deal
1248,199900,Good deal
5260,2322500,No deal
3024,94333,Good deal
3426,844338,No deal
6274,3123275,No deal
1868,297442,No deal
1612,83000,Good deal
1472,81600,Good deal
1382,286878,Good deal
1400,61146,Good deal
3014,659756,No deal
2064,397172,Good deal
888,271548,Good deal
2343,1867011,Good deal
2855,505838,No deal
1967,503910,Good deal
2211,464598,Good deal
2258,159387,Good deal
2534,441267,No deal
5227,2480500,No deal
1190,52000,Good deal
1792,470750,No deal
2912,322450,No deal
1749,417850,No deal
1112,186963,Good deal
2029,490792,Good deal
1430,116700,Good deal
1661,482291,No deal
1596,130000,Good deal
2535,1083871,No deal
2236,533113,Good deal
1781,325000,No deal
1942,436941,Good deal
1591,335101,No deal
2456,1005648,No deal
966,654295,No deal
1952,353151,Good deal
576,149000,Good deal
1288,59900,Good deal
1176,164950,Good deal
3004,299900,No deal
2236,417002,Good deal
2148,1210087,Good deal
1743,192131,Good deal
1573,350350,No deal
1810,1541173,No deal
1851,436875,No deal
1492,112500,Good deal
3000,644450,No deal
1485,171929,Good deal
3136,190000,Good deal
1674,466611,No deal
960,91425,Good deal
1764,50500,Good deal
1401,466257,No deal
1382,831097,No deal
2604,1348988,No deal
832,89900,Good deal
750,159000,Good deal
2213,427741,Good deal
1897,409024,Good deal
1740,405360,No deal
2315,380098,Good deal
1317,117630,Good deal
2026,249975,Good deal
2406,239275,Good deal
1287,210286,Good deal
2080,382089,Good deal
1920,226722,Good deal
1950,246028,Good deal
3451,525047,No deal
1839,419317,No deal
4890,1509317,No deal
5402,770817,No deal
1800,632000,No deal
1895,364407,Good deal
2300,1177934,Good deal
584,105000,Good deal
1280,331090,No deal
1384,272259,Good deal
1274,197056,Good deal
1725,237189,Good deal
2583,333200,No deal
1891,192500,Good deal
1836,114063,Good deal
1993,1127132,Good deal
1610,285030,Good deal
2400,195000,Good deal
1608,377218,No deal
2552,372458,No deal
5565,7200901,No deal
1365,275000,Good deal
1330,293779,No deal
1183,165000,Good deal
3690,121544,Good deal
11218,8000000,No deal
2464,1224486,No deal
2187,851104,Good deal
1175,114900,Good deal
1660,899900,No deal
1363,384315,No deal
1700,285000,Good deal
2024,205145,Good deal
1288,640096,No deal
2124,287075,Good deal
2916,768329,No deal
1440,146250,Good deal
1885,320000,Good deal
850,135000,Good deal
4192,1221800,No deal
2186,892804,Good deal
1376,1057786,No deal
1235,72833,Good deal
1536,358030,No deal
3978,2300000,No deal
1296,188162,Good deal
1704,151250,Good deal
4406,1073504,No deal
1305,69900,Good deal
4176,299900,No deal
2553,529321,No deal
2016,115900,Good deal
1181,680307,No deal
1824,50000,Good deal
1771,367207,No deal
1866,486265,No deal
1992,394546,Good deal
1898,251954,Good deal
1441,277691,Good deal
1985,1584167,Good deal
2000,175000,Good deal
2108,384808,Good deal
1350,171700,Good deal
1027,331941,No deal
1404,199999,Good deal
2485,252925,Good deal
1034,119274,Good deal
1126,186633,Good deal
1386,79900,Good deal
1863,673663,No deal
5474,2118496,No deal
3008,484538,No deal
1510,169252,Good deal
1840,489500,No deal
1546,577925,No deal
2980,479542,No deal
1921,536054,Good deal
2900,682500,No deal
1573,1572000,No deal
1905,896393,Good deal
929,1107973,No deal
1482,79632,Good deal
1196,355704,No deal
2642,426049,No deal
2272,390341,Good deal
720,269000,Good deal
1596,186352,Good deal
2030,358029,Good deal
2619,578885,No deal
2026,611064,Good deal
1761,320211,No deal
1377,81750,Good deal
2100,166450,Good deal
3500,575000,No deal
1440,82163,Good deal
1631,280628,Good deal
1660,447230,No deal
2174,408200,Good deal
1998,192200,Good deal
1787,389872,No deal
1228,144400,Good deal
1259,360168,No deal
1293,101100,Good deal
1550,660623,No deal
1535,1513372,No deal
2181,596118,Good deal
2212,555289,Good deal
2443,624341,No deal
1343,115900,Good deal
1700,261981,Good deal
1807,606641,No deal
6140,557500,No deal
1936,241500,Good deal
1500,665000,No deal
1418,814455,No deal
1586,284447,Good deal
2233,852223,Good deal
2110,563879,Good deal
952,306526,No deal
1568,67075,Good deal
2625,99000,Good deal
2520,1037380,No deal
1450,302500,No deal
2224,375000,Good deal
1560,219000,Good deal
2317,210000,Good deal
1692,250132,Good deal
1100,80619,Good deal
1143,1137274,No deal
1865,436209,No deal
3041,534538,No deal
981,70817,Good deal
2598,147247,Good deal
2261,301415,Good deal
1766,471667,No deal
1400,499676,No deal
2065,545889,Good deal
2436,2032614,No deal
1949,460491,Good deal
1598,217129,Good deal
1224,649000,No deal
2084,313291,Good deal
1788,352647,No deal
2100,394802,Good deal
2059,379774,Good deal
1558,316922,No deal
1805,321434,No deal
3450,847700,No deal
1660,69900,Good deal
1200,156402,Good deal
1923,437999,Good deal
2823,417692,No deal
1300,224900,Good deal
1650,95000,Good deal
1810,394462,No deal
2186,155000,Good deal
6201,774500,No deal
1615,608284,No deal
3870,265000,Good deal
1797,532041,No deal
1226,135000,Good deal
1393,114000,Good deal
2211,3792083,Good deal
1380,212124,Good deal
2080,1236000,Good deal
1034,299573,No deal
2985,332500,No deal
1388,311768,No deal
1267,420218,No deal
2335,360000,Good deal
2235,263165,Good deal
1810,676146,No deal
2233,84373,Good deal
2816,1234985,No deal
2749,455000,No deal
2198,472509,Good deal
1403,264923,Good deal
1461,257425,Good deal
1084,139317,Good deal
1100,549620,No deal
1711,190388,Good deal
2385,663703,No deal
1763,380277,No deal
2312,532286,Good deal
2590,1014667,No deal
2129,347588,Good deal
690,473212,No deal
1520,130950,Good deal
4113,329000,No deal
2649,172500,Good deal
2000,139900,Good deal
4516,599900,No deal
1925,912138,Good deal
1814,109265,Good deal
1502,99875,Good deal
1899,382055,Good deal
1559,236600,Good deal
1500,246300,Good deal
2272,316596,Good deal
2422,1197357,No deal
1510,672014,No deal
1703,225352,Good deal
1643,688875,No deal
1442,1582023,No deal
1469,66953,Good deal
1523,261633,Good deal
1300,477750,No deal
3135,2439931,No deal
1848,375000,No deal
1706,503756,No deal
2212,559000,Good deal
2138,170000,Good deal
2610,375650,No deal
7750,2854750,No deal
1255,136806,Good deal
5152,1159000,No deal
1757,222223,Good deal
2107,169967,Good deal
2016,135000,Good deal
1488,125000,Good deal
1726,659506,No deal
1472,71000,Good deal
2400,265000,Good deal
2230,1220232,Good deal
2500,133000,Good deal
3419,772262,No deal
1763,450000,No deal
2186,399675,Good deal
2098,271600,Good deal
2484,350167,No deal
1303,110000,Good deal
1296,214333,Good deal
1500,241446,Good deal
1508,266529,Good deal
1765,196485,Good deal
2622,625000,No deal
2346,57500,Good deal
1175,139178,Good deal
1824,639940,No deal
18000,1.30E+07,No deal
864,25400,Good deal
748,75000,Good deal
1576,267807,Good deal
1712,225000,Good deal
1363,566501,No deal
1549,979143,No deal
1912,504214,Good deal
1575,310864,No deal
5265,936000,No deal
1972,170417,Good deal
1992,261267,Good deal
1600,211950,Good deal
2928,637750,No deal
1758,408472,No deal
2356,145000,Good deal
2038,1478966,Good deal
1766,491469,No deal
1190,252084,Good deal
1528,127000,Good deal
2320,349900,Good deal
974,346537,No deal
1224,325000,No deal
1380,140000,Good deal
1615,249900,Good deal
1095,266042,Good deal
2499,287330,Good deal
1523,60056,Good deal
2097,68500,Good deal
1760,379789,No deal
1488,190000,Good deal
1520,672281,No deal
2685,276669,Good deal
2370,322341,No deal
1680,412885,No deal
1754,260120,Good deal
1669,134900,Good deal
1522,311175,No deal
1964,250000,Good deal
1454,121772,Good deal
931,64041,Good deal
1689,233170,Good deal
1968,91000,Good deal
1827,190500,Good deal
3918,2932119,No deal
4388,496225,No deal
1660,346689,No deal
1512,471333,No deal
1752,270000,Good deal
3300,127450,Good deal
2347,112000,Good deal
1905,294950,Good deal
1719,173224,Good deal
1486,932923,No deal
1568,64900,Good deal
1680,123462,Good deal
1800,249000,Good deal
1659,520216,No deal
1100,299863,No deal
2068,398222,Good deal
1611,260934,Good deal
1434,322479,No deal
2144,3526602,Good deal
1422,189586,Good deal
1280,43900,Good deal
2648,194900,Good deal
1512,115767,Good deal
2120,490207,Good deal
1740,274346,Good deal
1668,420458,No deal
2416,305000,No deal
2000,128742,Good deal
2288,174500,Good deal
2137,389900,Good deal
2406,870144,No deal
1921,145900,Good deal
1404,459900,No deal
8000,5300000,No deal
1600,354132,No deal
971,157025,Good deal
2959,3677638,No deal
1652,369100,No deal
1323,325000,No deal
1928,755517,Good deal
1698,215000,Good deal
2655,3171150,No deal
1092,142633,Good deal
3100,492238,No deal
2003,405358,Good deal
1230,303249,No deal
2059,431389,Good deal
3457,397400,No deal
1200,257584,Good deal
1304,297247,No deal
3723,759971,No deal
3503,567500,No deal
1799,1790000,No deal
1692,349362,No deal
1179,809807,No deal
1454,109429,Good deal
4960,756333,No deal
1444,331772,No deal
1441,339900,No deal
1696,381911,No deal
2568,948420,No deal
1854,293349,No deal
2500,134900,Good deal
2409,150000,Good deal
1875,154950,Good deal
2158,356525,Good deal
825,292545,Good deal
2560,378207,No deal
4335,862500,No deal
2259,308073,Good deal
1395,1039326,No deal
1100,258886,Good deal
1492,144522,Good deal
3291,1005607,No deal
2160,1011958,Good deal
720,182175,Good deal
1848,520208,No deal
1394,190576,Good deal
2638,571200,No deal
800,459616,No deal
2147,298095,Good deal
1688,1078055,No deal
728,109000,Good deal
2872,908000,No deal
1200,129900,Good deal
1970,579536,Good deal
3344,779000,No deal
1576,230880,Good deal
5720,5102500,No deal
1347,1012896,No deal
1309,212279,Good deal
1150,120000,Good deal
1556,111371,Good deal
2076,2373423,Good deal
880,134478,Good deal
1320,154900,Good deal
1711,211154,Good deal
1830,786582,No deal
1687,357676,No deal
2391,1800078,No deal
1299,176472,Good deal
1789,1510036,No deal
1440,158114,Good deal
1508,227000,Good deal
4966,1400541,No deal
3000,445714,No deal
1804,274900,Good deal
2304,211050,Good deal
1753,461646,No deal
2272,275687,Good deal
2143,656679,Good deal
2284,179991,Good deal
1497,185556,Good deal
1251,724201,No deal
2567,409217,No deal
2144,171875,Good deal
2821,467417,No deal
2776,655017,No deal
2108,487787,Good deal
2538,626988,No deal
769,615900,No deal
1857,402409,No deal
2306,1645964,Good deal
1381,83910,Good deal
1200,165325,Good deal
2925,491423,No deal
1300,737071,No deal
1432,133450,Good deal
3307,1048063,No deal
3069,387900,No deal
2015,240800,Good deal
1400,53500,Good deal
1452,124933,Good deal
1488,112000,Good deal
3200,245000,Good deal
2062,319673,Good deal
1466,199900,Good deal
1708,591377,No deal
1507,393027,No deal
2211,419925,Good deal
1152,364000,No deal
1480,650000,No deal
2004,383642,Good deal
2960,408333,No deal
1596,208000,Good deal
1443,96147,Good deal
2088,157875,Good deal
1488,185849,Good deal
1533,157504,Good deal
1922,625153,Good deal
2180,346225,Good deal
1204,72375,Good deal
3400,849000,No deal
1873,473737,No deal
3130,599500,No deal
1225,57000,Good deal
2752,263236,Good deal
1686,169858,Good deal
1700,375600,No deal
1938,345664,Good deal
1832,1011898,No deal
1344,197403,Good deal
2510,341573,No deal
1471,1089004,No deal
1930,489000,Good deal
1457,128292,Good deal
2335,614691,Good deal
2499,952238,No deal
1997,546429,Good deal
1989,588321,Good deal
1337,255750,Good deal
1728,389190,No deal
1701,213596,Good deal
1363,667220,No deal
1896,176105,Good deal
2233,269762,Good deal
1440,346497,No deal
1869,874900,No deal
2900,242860,Good deal
14214,2156250,No deal
1754,723060,No deal
936,94188,Good deal
1448,249900,Good deal
2422,821700,No deal
3452,1919902,No deal
2318,350000,Good deal
2310,149900,Good deal
1981,483313,Good deal
2402,538817,No deal
2574,326787,No deal
2304,375000,Good deal
1112,152750,Good deal
1344,553426,No deal
1386,163267,Good deal
2132,469945,Good deal
1623,313979,No deal
1666,134942,Good deal
1739,344682,No deal
2020,653183,Good deal
1735,737817,No deal
1848,107733,Good deal
1375,296037,No deal
2184,62900,Good deal
2156,475000,Good deal
2057,697400,Good deal
2288,279315,Good deal
2460,249000,Good deal
936,174003,Good deal
1765,348100,No deal
2538,642846,No deal
1279,714430,No deal
4404,2980000,No deal
1579,226228,Good deal
1021,50900,Good deal
1433,197000,Good deal
1536,40450,Good deal
7302,1924833,No deal
1628,211267,Good deal
2478,362267,No deal
2300,379216,Good deal
1160,82924,Good deal
2956,1765125,No deal
650,290000,Good deal
3373,1250486,No deal
1768,664589,No deal
3562,579900,No deal
2417,1920040,No deal
2336,833503,Good deal
2495,637540,No deal
2331,522191,Good deal
1968,29900,Good deal
3843,616050,No deal
1426,104915,Good deal
1826,315884,No deal
2101,452506,Good deal
1082,80000,Good deal
1152,84450,Good deal
2593,699657,No deal
1675,224023,Good deal
1080,59900,Good deal
1697,359888,No deal
1020,138800,Good deal
2256,446667,Good deal
1622,274926,Good deal
1757,795402,No deal
1127,2122013,No deal
1059,982181,No deal
1424,109067,Good deal
1802,4438248,No deal
1042,440000,No deal
1855,197929,Good deal
1980,1292137,Good deal
2856,539435,No deal
2012,995000,Good deal
1744,417383,No deal
2000,195833,Good deal
1664,101275,Good deal
1477,259770,Good deal
2726,547340,No deal
1872,436038,No deal
1750,427633,No deal
1398,408950,No deal
3024,254950,Good deal
1862,191592,Good deal
1035,146094,Good deal
1844,482000,No deal
2148,351625,Good deal
992,450000,No deal
1330,75000,Good deal
2334,516101,Good deal
1720,300000,No deal
2690,814655,No deal
1896,312889,Good deal
3894,1179624,No deal
923,88400,Good deal
2090,770000,Good deal
2760,329925,No deal
1644,652127,No deal
2953,407396,No deal
1571,272893,Good deal
1616,161600,Good deal
2470,614318,No deal
1798,209985,Good deal
1020,325000,No deal
2190,256600,Good deal
1954,458987,Good deal
1052,242500,Good deal
1671,125000,Good deal
2538,172233,Good deal
2417,536776,No deal
3503,3006768,No deal
2696,2538175,No deal
1600,396794,No deal
1958,298260,Good deal
1444,44900,Good deal
1056,24900,Good deal
2345,756907,No deal
2129,521325,Good deal
2679,392210,No deal
432,94500,Good deal
2008,330225,Good deal
1438,745975,No deal
1258,736737,No deal
3200,167450,Good deal
2233,529000,Good deal
1726,195500,Good deal
3118,940558,No deal
1788,191800,Good deal
1595,306008,No deal
1799,174900,Good deal
1599,192000,Good deal
1120,134885,Good deal
1650,215111,Good deal
1842,727756,No deal
1364,394458,No deal
3639,857831,No deal
1449,294346,No deal
1438,86197,Good deal
1842,150667,Good deal
1500,250000,Good deal
2020,243491,Good deal
3700,237000,Good deal
1378,312767,No deal
2147,636335,Good deal
1763,205902,Good deal
1017,447828,No deal
3246,831213,No deal
1584,250000,Good deal
1640,242430,Good deal
1645,281950,Good deal
1634,348636,No deal
1424,653500,No deal
3361,1875643,No deal
1718,575957,No deal
2022,1845000,Good deal
1680,331297,No deal
5117,1600000,No deal
1563,180732,Good deal
914,45000,Good deal
2466,369000,No deal
2600,180000,Good deal
2017,430861,Good deal
3786,6081155,No deal
1483,503636,No deal
2055,207500,Good deal
2064,199900,Good deal
2886,341125,No deal
1568,231228,Good deal
1857,269650,Good deal
1552,199859,Good deal
1523,363225,No deal
3004,2683654,No deal
1654,289900,Good deal
1752,147075,Good deal
3336,765416,No deal
2300,565750,Good deal
1650,149900,Good deal
1804,343000,No deal
1008,64900,Good deal
1297,110000,Good deal
2232,362902,Good deal
1753,377847,No deal
1948,331358,Good deal
1740,485516,No deal
1443,60071,Good deal
2022,605380,Good deal
900,32500,Good deal
1736,149000,Good deal
2018,162400,Good deal
2962,424783,No deal
2460,1604602,No deal
1493,251637,Good deal
2370,716673,No deal
2421,456170,No deal
2304,738700,Good deal
1291,114652,Good deal
1980,293333,Good deal
1823,439900,No deal
2150,325526,Good deal
1786,495730,No deal
1864,484520,No deal
3100,812559,No deal
3276,376000,No deal
2168,253638,Good deal
1544,119900,Good deal
1164,140313,Good deal
7725,311750,No deal
2332,530013,Good deal
1984,64721,Good deal
1855,850130,No deal
2503,1097982,No deal
1211,279360,Good deal
1778,1371000,No deal
1736,292528,Good deal
600,389000,No deal
6792,1150000,No deal
2057,422258,Good deal
1491,161567,Good deal
2207,1068861,Good deal
1866,117500,Good deal
1764,111950,Good deal
1247,58679,Good deal
1720,279750,Good deal
1884,258632,Good deal
2583,120000,Good deal
2017,233682,Good deal
2750,336633,No deal
867,1049667,No deal
1603,600913,No deal
1937,522008,Good deal
3073,469900,No deal
2488,184605,Good deal
2068,574682,Good deal
1925,393679,Good deal
1328,239000,Good deal
3000,182500,Good deal
1356,185013,Good deal
2501,656718,No deal
1126,597409,No deal
2130,256633,Good deal
2059,799000,Good deal
2583,449147,No deal
2476,219995,Good deal
2028,537979,Good deal
3195,664900,No deal
3114,124500,Good deal
1914,305587,Good deal
1543,426697,No deal
1854,440867,No deal
1458,338187,No deal
1737,46705,Good deal
924,1030001,No deal
3538,656250,No deal
2184,186450,Good deal
3992,1300000,No deal
2457,339411,No deal
1040,400989,No deal
1800,995203,No deal
3227,976875,No deal
1899,469672,Good deal
1480,239950,Good deal
1818,616670,No deal
1565,96150,Good deal
1997,299000,Good deal
2190,526793,Good deal
2496,425000,No deal
1960,234900,Good deal
2529,838652,No deal
983,65000,Good deal
2038,409450,Good deal
1808,311856,No deal
1735,175336,Good deal
2237,343632,Good deal
2153,659900,Good deal
1480,474557,No deal
1368,228164,Good deal
1517,101967,Good deal
1660,249900,Good deal
1363,183328,Good deal
2235,397745,Good deal
2140,188267,Good deal
7300,775000,No deal
2129,905987,Good deal
790,308133,No deal
1543,279067,Good deal
1680,165900,Good deal
1595,246311,Good deal
2020,382050,Good deal
8768,1.13E+07,No deal
2204,105000,Good deal
5006,448850,No deal
1550,351355,No deal
2029,497689,Good deal
2152,650000,Good deal
3108,685267,No deal
1175,229727,Good deal
2844,530752,No deal
1452,173394,Good deal
4800,229000,Good deal
1839,400471,No deal
2750,435733,No deal
2516,575000,No deal
2083,751734,Good deal
1190,159900,Good deal
1383,461942,No deal
1680,144700,Good deal
1846,315816,No deal
1091,87500,Good deal
1522,312450,No deal
2459,560284,No deal
2016,301451,Good deal
2475,550971,No deal
2012,475000,Good deal
5600,1338750,No deal
825,79000,Good deal
2135,1654340,Good deal
1392,195000,Good deal
2727,644719,No deal
1610,150915,Good deal
1856,134900,Good deal
2259,291923,Good deal
1957,214450,Good deal
2501,239483,Good deal
1603,348414,No deal
5088,808750,No deal
1846,674201,No deal
1927,605557,Good deal
1538,144300,Good deal
3517,3169624,No deal
1944,420224,Good deal
1562,43000,Good deal
4471,605866,No deal
2200,595000,Good deal
1129,199211,Good deal
2134,129900,Good deal
2444,209356,Good deal
1289,203817,Good deal
3282,984905,No deal
1597,197352,Good deal
1559,383581,No deal
1604,1699995,No deal
2184,357042,Good deal
2361,1149191,No deal
2086,636566,Good deal
2724,575000,No deal
3212,2356589,No deal
2702,634925,No deal
1100,219593,Good deal
2354,1699215,No deal
1084,470403,No deal
1276,93233,Good deal
1160,860863,No deal
1752,280795,Good deal
1538,704503,No deal
2156,166725,Good deal
4600,650000,No deal
2128,253236,Good deal
1265,175283,Good deal
1056,105646,Good deal
2526,1053108,No deal
1470,261037,Good deal
4972,451188,No deal
832,59900,Good deal
3200,425975,No deal
3610,257750,Good deal
2010,413093,Good deal
1553,156600,Good deal
2136,2746934,Good deal
1017,91000,Good deal
1969,235720,Good deal
1490,14000,Good deal
1666,211600,Good deal
2104,384509,Good deal
1984,787976,Good deal
1691,166000,Good deal
1656,472457,No deal
1884,249692,Good deal
2319,500000,Good deal
1857,500480,No deal
1154,434208,No deal
7756,909500,No deal
1964,542451,Good deal
2032,147133,Good deal
1630,291945,Good deal
2115,281515,Good deal
2832,1029663,No deal
1395,268625,Good deal
2307,603442,Good deal
2416,675000,No deal
2529,581267,No deal
1868,177917,Good deal
1797,305721,No deal
1641,2101694,No deal
1509,239828,Good deal
1578,379851,No deal
1044,39500,Good deal
2805,388750,No deal
2500,306113,No deal
1740,265800,Good deal
2204,501988,Good deal
1708,129967,Good deal
1991,394692,Good deal
1456,265363,Good deal
2036,359300,Good deal
2782,208333,Good deal
1786,348934,No deal
5613,3300000,No deal
2835,159900,Good deal
2119,417588,Good deal
2408,270000,Good deal
1200,219900,Good deal
1953,749633,Good deal
1965,304667,Good deal
1529,474593,No deal
1970,297250,Good deal
1345,162352,Good deal
1800,290587,Good deal
1286,158659,Good deal
2074,382417,Good deal
1409,193953,Good deal
2310,408531,Good deal
1934,718173,Good deal
2124,429857,Good deal
5150,1200833,No deal
1697,240588,Good deal
3424,326150,No deal
1404,169000,Good deal
1394,136811,Good deal
1559,99658,Good deal
1023,120363,Good deal
2024,60000,Good deal
960,48000,Good deal
1144,147967,Good deal
1912,409760,Good deal
2378,1119329,No deal
1577,85125,Good deal
3344,638476,No deal
1782,282643,Good deal
3216,445000,No deal
864,223000,Good deal
3308,815985,No deal
1690,247163,Good deal
3404,325000,No deal
1981,369337,Good deal
1483,305309,No deal
2176,207206,Good deal
2561,393725,No deal
2712,538527,No deal
2075,150875,Good deal
2538,959167,No deal
1564,116975,Good deal
2186,295000,Good deal
1144,61800,Good deal
1210,120000,Good deal
1633,550000,No deal
1674,367791,No deal
9850,1593000,No deal
1677,700000,No deal
1640,350667,No deal
1234,259900,Good deal
1613,187500,Good deal
1972,59900,Good deal
1254,396374,No deal
2144,319500,Good deal
1694,333596,No deal
2168,204150,Good deal
1314,297371,No deal
2435,1070275,No deal
1152,314000,No deal
1410,470352,No deal
920,281000,Good deal
2150,495000,Good deal
4170,1864482,No deal
1474,261157,Good deal
1633,219317,Good deal
4864,990000,No deal
3537,934632,No deal
2296,933086,Good deal
1224,258136,Good deal
1833,134167,Good deal
2422,506054,No deal
1696,1525877,No deal
1536,37500,Good deal
1792,234763,Good deal
2978,734389,No deal
1775,429049,No deal
1200,163763,Good deal
2208,332914,Good deal
2079,293827,Good deal
1722,521149,No deal
1102,789166,No deal
1790,335022,No deal
1910,485382,Good deal
1560,153663,Good deal
1364,533750,No deal
2660,150900,Good deal
1087,181837,Good deal
1342,374258,No deal
2088,350739,Good deal
3500,246225,Good deal
1469,118840,Good deal
1606,140000,Good deal
1964,85000,Good deal
900,53240,Good deal
1782,582985,No deal
1502,365211,No deal
1826,383124,No deal
1568,130601,Good deal
2263,134900,Good deal
2109,481650,Good deal
1233,255133,Good deal
1394,690982,No deal
2290,130000,Good deal
1554,352634,No deal
1500,263312,Good deal
1770,436575,No deal
3868,799000,No deal
1900,159900,Good deal
1570,480143,No deal
1685,502857,No deal
1590,888357,No deal
3688,244500,Good deal
4600,1248750,No deal
1842,622008,No deal
1710,374750,No deal
1692,324000,No deal
1864,83400,Good deal
2129,274304,Good deal
3890,1081250,No deal
1992,1900000,Good deal
1480,66667,Good deal
1565,394892,No deal
1340,664817,No deal
1415,700000,No deal
876,503016,No deal
1240,268896,Good deal
1429,114563,Good deal
3004,1100000,No deal
1176,200000,Good deal
2320,603015,Good deal
3200,1052489,No deal
1985,370734,Good deal
1475,349157,No deal
2188,288667,Good deal
1232,118994,Good deal
1126,469237,No deal
1448,182851,Good deal
1590,175117,Good deal
1655,149900,Good deal
7258,1986225,No deal
1344,204025,Good deal
1779,274243,Good deal
1542,2709530,No deal
3276,269900,Good deal
3332,847240,No deal
2011,490136,Good deal
1682,521084,No deal
8070,1054500,No deal
1584,495750,No deal
1536,562408,No deal
1152,149000,Good deal
1496,89900,Good deal
3008,337498,No deal
1248,184967,Good deal
2425,470129,No deal
1452,134712,Good deal
1974,306298,Good deal
1791,626870,No deal
1462,152396,Good deal
1218,43549,Good deal
1350,415333,No deal
1800,325560,No deal
2928,615179,No deal
3281,454062,No deal
1862,494889,No deal
1985,317995,Good deal
1751,310490,No deal
2398,559069,No deal
1693,92413,Good deal
2063,88650,Good deal
1770,715334,No deal
640,325000,No deal
2302,50271,Good deal
2388,434450,No deal
1536,223225,Good deal
1557,127221,Good deal
1662,146167,Good deal
1255,677083,No deal
2500,199900,Good deal
1440,234950,Good deal
2182,884351,Good deal
2038,219000,Good deal
1700,197425,Good deal
2000,284475,Good deal
1596,169900,Good deal
1225,198067,Good deal
1553,120486,Good deal
1840,406098,No deal
2245,535900,Good deal
1712,220830,Good deal
1588,441877,No deal
2221,482769,Good deal
2006,189958,Good deal
3005,499900,No deal
985,111224,Good deal
1106,183846,Good deal
1823,351358,No deal
1998,268811,Good deal
1860,350000,No deal
3300,771167,No deal
2879,314900,No deal
2344,578779,Good deal
2021,222682,Good deal
1752,165000,Good deal
1665,175000,Good deal
1426,153327,Good deal
1686,271314,Good deal
1200,174900,Good deal
900,281667,Good deal
1448,227206,Good deal
1980,656142,Good deal
2200,497542,Good deal
1902,310109,Good deal
2514,580707,No deal
1324,220988,Good deal
1945,331343,Good deal
1656,82000,Good deal
1808,169388,Good deal
1818,425167,No deal
1576,343450,No deal
1808,184967,Good deal
2294,161250,Good deal
576,49900,Good deal
2447,671285,No deal
2588,702021,No deal
2169,420937,Good deal
2694,3251578,No deal
1713,431571,No deal
1439,89900,Good deal
1713,315384,No deal
2517,604083,No deal
875,181489,Good deal
886,199000,Good deal
1452,277741,Good deal
2127,619711,Good deal
1374,208500,Good deal
1935,2847724,Good deal
2160,557524,Good deal
2128,356250,Good deal
1965,370508,Good deal
2546,164800,Good deal
2061,398417,Good deal
1442,373846,No deal
1571,233840,Good deal
1674,468125,No deal
1301,154039,Good deal
1980,199900,Good deal
1957,116205,Good deal
2055,334500,Good deal
1399,406523,No deal
1964,141250,Good deal
2126,228627,Good deal
3421,1953217,No deal
2184,206552,Good deal
1344,79000,Good deal
3248,495000,No deal
1710,274950,Good deal
1245,398705,No deal
1538,578828,No deal
1077,186853,Good deal
2868,400000,No deal
1789,331723,No deal
1200,357933,No deal
2151,893255,Good deal
992,76150,Good deal
2514,373784,No deal
3111,580100,No deal
2855,559814,No deal
2684,1066201,No deal
6828,476042,No deal
1400,208356,Good deal
2388,199000,Good deal
3348,386323,No deal
1440,353560,No deal
2000,186006,Good deal
2414,295066,No deal
2009,250959,Good deal
1016,140521,Good deal
5024,699999,No deal
2621,391608,No deal
1504,379449,No deal
626,128750,Good deal
2196,112917,Good deal
2360,847116,No deal
3156,226353,Good deal
1929,576888,Good deal
1354,175000,Good deal
3770,296250,No deal
2684,324323,No deal
2067,310790,Good deal
1144,245000,Good deal
1152,375083,No deal
1788,163484,Good deal
2450,316283,No deal
1455,636560,No deal
1796,194808,Good deal
2139,598375,Good deal
2108,5991017,Good deal
1450,118879,Good deal
2440,1009056,No deal
1518,108650,Good deal
2797,515490,No deal
1688,289667,Good deal
1378,271057,Good deal
1920,466850,Good deal
1604,195129,Good deal
838,811007,No deal
2097,406528,Good deal
2496,148050,Good deal
2132,750000,Good deal
1298,220000,Good deal
2500,924892,No deal
1321,123675,Good deal
2430,632224,No deal
1730,203667,Good deal
3140,159821,Good deal
2152,74900,Good deal
992,56530,Good deal
1352,120000,Good deal
1524,89500,Good deal
