median_square_feet,average_listing_price,indicator
3356,789967,No deal
2300,406723,Good deal
1658,1528183,No deal
1485,197062,Good deal
1512,120348,Good deal
3128,1231714,No deal
2386,811450,No deal
2217,424319,Good deal
2424,154967,Good deal
2889,252500,Good deal
1668,339972,No deal
1374,425000,No deal
2064,280433,Good deal
1995,484381,Good deal
2364,384900,No deal
561,65000,Good deal
1120,24900,Good deal
2514,325750,No deal
2514,89500,Good deal
1144,155000,Good deal
1254,64900,Good deal
2528,1366633,No deal
1368,271500,Good deal
3456,2395375,No deal
912,63000,Good deal
1414,1164693,No deal
1771,45000,Good deal
1370,117450,Good deal
1714,275668,Good deal
1624,129405,Good deal
600,39500,Good deal
1092,72675,Good deal
1122,109000,Good deal
1296,85000,Good deal
1579,479541,No deal
1308,561862,No deal
1128,314900,No deal
3134,330075,No deal
1340,299780,No deal
1883,374170,Good deal
2097,591900,Good deal
1634,210525,Good deal
1242,43100,Good deal
1140,30000,Good deal
1782,736178,No deal
1668,118265,Good deal
1020,40000,Good deal
2241,526907,Good deal
1697,135000,Good deal
3112,700000,No deal
3112,99900,Good deal
2625,774586,No deal
1935,496659,Good deal
2000,484333,Good deal
7344,152500,Good deal
2170,146667,Good deal
3101,2987085,No deal
1672,170103,Good deal
1000,602350,No deal
6891,429500,No deal
1664,546340,No deal
2196,375268,Good deal
1500,185300,Good deal
2031,531838,Good deal
1882,401653,Good deal
2310,323730,Good deal
2522,167400,Good deal
2106,98000,Good deal
1872,148300,Good deal
652,325000,No deal
1872,222880,Good deal
912,119900,Good deal
3438,3049250,No deal
1995,277144,Good deal
1988,253250,Good deal
600,55000,Good deal
1716,422917,No deal
2420,647541,No deal
5144,2815140,No deal
1931,190470,Good deal
2362,283132,Good deal
1475,588892,No deal
2000,89000,Good deal
1836,369000,No deal
4388,575000,No deal
1352,703324,No deal
1300,222000,Good deal
1430,157544,Good deal
2158,489840,Good deal
2088,220000,Good deal
3818,244450,Good deal
1491,131940,Good deal
890,17500,Good deal
1609,330617,No deal
2200,227000,Good deal
1188,135000,Good deal
2067,569681,Good deal
2763,399000,No deal
1137,173698,Good deal
1310,375000,No deal
1900,329544,Good deal
2763,262450,Good deal
1284,707500,No deal
2416,70000,Good deal
2252,350408,Good deal
1589,348214,No deal
3728,1242500,No deal
1919,430141,Good deal
889,958305,No deal
1786,163891,Good deal
1800,497590,No deal
728,156737,Good deal
1600,489087,No deal
2012,540665,Good deal
1545,459459,No deal
2100,695000,Good deal
1891,429194,Good deal
1934,136858,Good deal
1952,288919,Good deal
1923,388530,Good deal
1411,176328,Good deal
3082,480500,No deal
2037,440376,Good deal
3400,292975,No deal
2507,484067,No deal
2064,126500,Good deal
1347,151925,Good deal
1359,185563,Good deal
1477,164789,Good deal
1996,49300,Good deal
2305,395426,Good deal
1492,286036,Good deal
1338,138253,Good deal
2168,230000,Good deal
1396,595000,No deal
2300,391333,Good deal
1426,132500,Good deal
1143,148127,Good deal
1554,191036,Good deal
3039,348250,No deal
1152,42400,Good deal
1575,469242,No deal
2336,337400,Good deal
1774,123116,Good deal
1500,399000,No deal
1353,164900,Good deal
3066,219500,Good deal
1445,401817,No deal
1360,185786,Good deal
2193,627171,Good deal
2736,195000,Good deal
2054,461167,Good deal
2418,304954,No deal
2044,553465,Good deal
7959,481250,No deal
2247,349000,Good deal
1498,221282,Good deal
2670,423322,No deal
1455,548118,No deal
1764,74492,Good deal
3074,630357,No deal
1597,1833788,No deal
1550,205859,Good deal
600,144000,Good deal
1200,89909,Good deal
1874,202451,Good deal
7560,2195000,No deal
2906,289725,Good deal
1216,247420,Good deal
1326,229900,Good deal
3456,820583,No deal
2601,534067,No deal
1780,300838,No deal
2200,116000,Good deal
2300,775000,Good deal
1500,362144,No deal
1579,393231,No deal
2482,2187431,No deal
3652,399000,No deal
1233,203173,Good deal
1928,599900,Good deal
2726,486811,No deal
3576,319000,No deal
1517,258611,Good deal
1947,295294,Good deal
1700,1300000,No deal
2880,364633,No deal
1543,53675,Good deal
1543,998630,No deal
2044,362115,Good deal
1453,3585657,No deal
3589,269900,Good deal
1334,531426,No deal
1912,269900,Good deal
2247,269000,Good deal
2342,488928,Good deal
1750,265950,Good deal
1648,812378,No deal
979,282983,Good deal
1380,212086,Good deal
2939,937500,No deal
2272,399900,Good deal
2061,433830,Good deal
1388,211333,Good deal
3247,408408,No deal
1421,311212,No deal
1900,84500,Good deal
1981,375417,Good deal
1590,286421,Good deal
2135,255000,Good deal
2037,370964,Good deal
2757,279900,Good deal
1298,273267,Good deal
3479,885590,No deal
3458,959562,No deal
1800,122955,Good deal
1728,434000,No deal
1328,102500,Good deal
1839,657624,No deal
2456,386822,No deal
1560,97000,Good deal
1370,309620,No deal
2582,541315,No deal
3402,833538,No deal
1726,198820,Good deal
1807,75300,Good deal
474,240333,Good deal
2135,2549725,Good deal
1945,469666,Good deal
1116,109900,Good deal
1226,120250,Good deal
975,1143493,No deal
1440,109000,Good deal
5865,842311,No deal
1251,84275,Good deal
3200,390900,No deal
1408,109900,Good deal
1918,232189,Good deal
1815,563836,No deal
2478,581336,No deal
2540,460000,No deal
3736,100950,Good deal
1965,318322,Good deal
2556,349900,No deal
1287,338157,No deal
2204,462704,Good deal
1774,1867813,No deal
2095,511477,Good deal
1298,30000,Good deal
1161,1266518,No deal
1444,180956,Good deal
4471,6038062,No deal
2049,211817,Good deal
1868,1261606,No deal
1633,504906,No deal
9600,728750,No deal
3912,355000,No deal
2954,885225,No deal
4167,1067001,No deal
2043,790250,Good deal
2423,208733,Good deal
3690,1.05E+07,No deal
1215,539494,No deal
1363,679635,No deal
1450,51925,Good deal
1353,347521,No deal
1786,297038,No deal
1491,312718,No deal
1680,39000,Good deal
1809,141208,Good deal
2171,207983,Good deal
1949,2126375,Good deal
1222,75000,Good deal
2552,612628,No deal
2768,4947355,No deal
1216,75000,Good deal
1907,428529,Good deal
1710,1293958,No deal
1825,410203,No deal
2377,984611,No deal
2128,463704,Good deal
2143,1646167,Good deal
2143,750853,No deal
1626,459149,No deal
1581,68700,Good deal
2227,639025,Good deal
1131,1246562,No deal
2000,284940,Good deal
1698,300500,No deal
1675,418716,No deal
2364,769083,No deal
2546,723095,No deal
1316,133400,Good deal
2143,257513,Good deal
1806,414500,No deal
1152,191950,Good deal
1656,326902,No deal
2177,650000,Good deal
1348,325438,No deal
2576,476109,No deal
1376,329950,No deal
4000,375000,No deal
2340,1082075,Good deal
1650,336424,No deal
3504,519215,No deal
2300,796604,Good deal
2473,246625,Good deal
1556,400044,No deal
2176,1956667,Good deal
2367,1019505,No deal
1501,480369,No deal
1587,284615,Good deal
1184,127416,Good deal
1756,699900,No deal
3210,417901,No deal
4781,892500,No deal
2052,244842,Good deal
1805,476457,No deal
1768,101625,Good deal
2015,681437,Good deal
2225,634822,Good deal
2851,1176742,No deal
2186,544766,Good deal
2612,585479,No deal
2715,431087,No deal
2450,187400,Good deal
2143,175000,Good deal
3377,698440,No deal
1600,124375,Good deal
1572,168971,Good deal
2546,272500,Good deal
3384,665528,No deal
2087,152166,Good deal
1656,262447,Good deal
1635,264775,Good deal
1940,272897,Good deal
1302,266876,Good deal
1322,775790,No deal
2540,333758,No deal
4264,989500,No deal
2769,1243531,No deal
1667,783744,No deal
2030,462033,Good deal
1846,353761,No deal
2232,538875,Good deal
1100,198569,Good deal
1254,585553,No deal
1356,351500,No deal
1369,154917,Good deal
2370,325000,No deal
1152,73000,Good deal
6382,1099967,No deal
1461,235092,Good deal
1214,405778,No deal
1181,483345,No deal
1770,806999,No deal
1807,204977,Good deal
2460,814781,No deal
5356,1200000,No deal
7164,3450000,No deal
2171,603000,Good deal
3500,1509350,No deal
3206,670833,No deal
948,97425,Good deal
3843,3358884,No deal
1987,400940,Good deal
1043,165000,Good deal
1215,258030,Good deal
1875,663300,No deal
1272,291570,Good deal
768,135000,Good deal
1080,477274,No deal
1800,87938,Good deal
1271,264431,Good deal
4876,363750,No deal
1983,339900,Good deal
1466,413339,No deal
1098,155100,Good deal
2035,372248,Good deal
1120,30000,Good deal
1358,139408,Good deal
3619,2254734,No deal
1524,275051,Good deal
2436,212500,Good deal
2709,846530,No deal
3450,461166,No deal
3406,1142000,No deal
3812,441750,No deal
5098,1130975,No deal
3533,855148,No deal
1182,51381,Good deal
2183,358992,Good deal
3839,2877704,No deal
2807,324177,No deal
1994,379900,Good deal
2214,92000,Good deal
1493,414149,No deal
2822,638919,No deal
3526,738509,No deal
1922,80500,Good deal
1140,251300,Good deal
2499,1150000,No deal
1036,123750,Good deal
1225,463393,No deal
2988,2307311,No deal
1382,155317,Good deal
1669,340675,No deal
2238,429661,Good deal
1242,1315057,No deal
1350,119000,Good deal
1680,88750,Good deal
4992,409000,No deal
1889,327548,Good deal
1783,179646,Good deal
2254,733871,Good deal
2314,418566,Good deal
1851,253000,Good deal
2072,340120,Good deal
1422,306132,No deal
1371,366102,No deal
2560,1063652,No deal
3972,1743750,No deal
2142,163233,Good deal
2213,619018,Good deal
2494,408333,No deal
1182,128175,Good deal
1800,127767,Good deal
1702,184900,Good deal
1492,283751,Good deal
1559,260612,Good deal
1141,71724,Good deal
1197,115036,Good deal
2499,1948253,No deal
1404,525000,No deal
1440,139436,Good deal
5974,4288167,No deal
4445,547310,No deal
2000,153675,Good deal
1820,62500,Good deal
1515,316770,No deal
